City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
257,Beloha,MG,-25.1667,45.05,79.7,71,96,16.49,overcast clouds
258,Bafut,CM,6.0833,10.1,88.95,14,0,6.78,clear sky
259,Bac Lieu,VN,9.285,105.7244,74.79,76,100,4.59,overcast clouds
260,Hirara,JP,24.8,125.2833,66.65,74,100,23.33,overcast clouds
261,Banda Aceh,ID,5.5577,95.3222,79.02,82,100,9.89,light rain
262,Saint-Joseph,RE,-21.3667,55.6167,89.6,62,75,6.91,broken clouds
263,Saint-Augustin,CA,51.226,-58.6502,26.91,96,100,5.3,overcast clouds
264,Cayenne,GF,4.9333,-52.3333,82.4,69,75,14.97,broken clouds
265,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.08,63,61,9.01,broken clouds
266,Tarko-Sale,RU,64.9225,77.785,-16.42,89,100,7.58,overcast clouds
267,Lata,PT,40.1629,-8.3327,53.01,76,40,10.36,scattered clouds
268,Ikungi,TZ,-5.1333,34.7667,73.36,76,100,4.59,light rain
269,Karratha,AU,-20.7377,116.8463,90.19,59,0,10.04,light rain
270,Lardos,GR,36.0942,28.0157,53.01,40,0,17.27,clear sky
271,Yandyki,RU,45.7691,47.1258,26.8,84,100,6.04,overcast clouds
272,Tondi,IN,9.7333,79.0167,80.01,71,0,11.48,clear sky
273,Iqaluit,CA,63.7506,-68.5145,32.0,74,90,20.71,snow
274,Hay River,CA,60.8156,-115.7999,23.0,80,100,13.8,light snow
275,Aklavik,CA,68.2191,-135.0107,-4.0,77,100,3.44,overcast clouds
276,Sao Sebastiao,BR,-23.76,-45.4097,83.55,68,100,2.15,overcast clouds
277,Pafos,CY,34.7667,32.4167,57.2,54,75,21.85,broken clouds
278,Salamanca,ES,40.8333,-6.0,48.0,65,100,13.0,overcast clouds
279,Hobyo,SO,5.3505,48.5268,79.43,66,66,23.62,broken clouds
280,Yulara,AU,-25.2406,130.9889,82.4,14,4,5.75,clear sky
281,Liyang,CN,29.7057,118.2862,42.49,63,0,2.42,clear sky
282,Nome,US,64.5011,-165.4064,-0.4,78,5,27.63,snow
283,Inongo,CD,-1.95,18.2667,83.3,62,75,5.37,light rain
284,Catalina,US,32.5056,-110.9211,57.0,49,99,1.99,overcast clouds
285,Islamkot,PK,24.6997,70.177,73.96,20,0,7.45,clear sky
286,Almaznyy,RU,48.0448,40.045,6.8,72,20,6.71,few clouds
287,Horsham,GB,51.064,-0.3272,50.0,87,75,17.27,light rain
288,Fortuna,US,40.5982,-124.1573,46.99,100,90,4.61,overcast clouds
289,Muros,ES,42.7762,-9.0603,55.0,77,100,26.55,overcast clouds
290,Deniliquin,AU,-35.5333,144.9667,57.0,59,0,3.0,clear sky
291,Belmonte,BR,-15.8631,-38.8828,82.4,65,40,6.91,scattered clouds
292,La Ronge,CA,55.1001,-105.2842,10.4,85,100,4.61,overcast clouds
293,Mount Isa,AU,-20.7333,139.5,86.0,51,90,8.05,overcast clouds
294,Te Anau,NZ,-45.4167,167.7167,43.74,87,100,7.99,light rain
295,Cozumel,MX,20.5083,-86.9458,72.0,88,40,5.75,scattered clouds
296,Nouadhibou,MR,20.931,-17.0347,69.8,26,100,13.8,overcast clouds
297,Carutapera,BR,-1.195,-46.02,84.74,67,14,7.92,few clouds
298,Oktyabrskiy,RU,54.4815,53.471,4.3,94,100,2.89,overcast clouds
299,Cockburn Town,TC,21.4612,-71.1419,78.01,79,100,18.34,overcast clouds
300,Ulladulla,AU,-35.35,150.4667,62.01,88,90,6.91,overcast clouds
301,San Jeronimo,PE,-11.9472,-75.2829,51.8,68,98,0.45,overcast clouds
302,Salalah,OM,17.0151,54.0924,80.6,47,0,4.61,clear sky
303,Sulangan,PH,11.1373,123.7228,78.48,84,100,11.68,overcast clouds
304,Spassk-Ryazanskiy,RU,54.4072,40.3806,2.34,94,100,2.33,snow
305,Juba,SS,4.8517,31.5825,101.34,14,69,7.47,broken clouds
306,Codrington,AU,-38.2667,141.9667,51.93,79,0,11.05,clear sky
307,Geraldton,AU,-28.7667,114.6,77.0,73,90,8.05,overcast clouds
308,Mount Gambier,AU,-37.8333,140.7667,51.8,76,0,9.22,clear sky
309,Zabaykalsk,RU,49.6333,117.3167,-6.63,91,58,5.66,broken clouds
310,Hastings,GB,50.8552,0.5729,50.0,81,100,8.01,overcast clouds
311,Bengkulu,ID,-3.8004,102.2655,79.07,81,85,6.22,overcast clouds
312,Inuvik,CA,68.3499,-133.7218,-4.0,77,100,3.44,overcast clouds
313,San Ramon,US,37.7799,-121.978,54.0,20,1,25.32,clear sky
314,Longyearbyen,SJ,78.2186,15.6401,15.8,62,40,23.02,scattered clouds
315,Takestan,IR,36.0696,49.6959,53.6,32,20,11.5,few clouds
316,Bayanday,RU,53.0661,105.5139,9.57,94,100,2.89,overcast clouds
317,Sterling,US,39.0062,-77.4286,33.01,64,75,6.91,broken clouds
318,Klyuchi,RU,52.2667,79.1667,-0.78,90,100,4.56,overcast clouds
319,Anadyr,RU,64.75,177.4833,-31.0,68,0,8.95,clear sky
320,Kirakira,SB,-10.4544,161.9205,81.86,77,5,5.39,light rain
321,Chojnow,PL,51.2737,15.9366,39.0,76,100,7.83,overcast clouds
322,Abu Dhabi,AE,24.4667,54.3667,75.2,69,0,8.05,clear sky
323,Kursk,RU,51.7303,36.1939,5.0,72,75,4.47,light snow
324,Norman Wells,CA,65.282,-126.8329,12.2,79,75,3.44,broken clouds
325,Alihe,CN,50.5667,123.7167,-11.4,85,48,2.53,light snow
326,Birao,CF,10.2849,22.7882,92.86,11,0,11.34,clear sky
327,Beringovskiy,RU,63.05,179.3167,-21.37,86,100,13.51,overcast clouds
328,Kautokeino,NO,69.0125,23.0412,8.22,95,100,3.53,overcast clouds
329,Farmington,US,36.7281,-108.2187,33.8,80,90,21.85,light snow
330,Tilichiki,RU,60.4667,166.1,-26.79,84,50,13.87,scattered clouds
331,Sartell,US,45.6216,-94.2069,10.4,85,90,2.35,light snow
332,Spartanburg,US,34.9496,-81.9321,35.01,80,90,3.47,overcast clouds
333,Ribeira Grande,PT,38.5167,-28.7,60.8,63,20,26.46,few clouds
334,Taltal,CL,-25.4,-70.4833,69.21,63,12,5.77,few clouds
335,Uusikaupunki,FI,60.8004,21.4084,32.0,100,90,11.5,light snow
336,Fukue,JP,32.6881,128.8419,47.19,63,0,14.9,clear sky
