City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
507,Mogadishu,SO,82.11,overcast clouds,2.0371,45.3438,Hotel Juba
510,San Patricio,US,69.8,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
511,Tecoanapa,MX,73.58,clear sky,16.5167,-98.75,Hotel Manglares
514,Moerai,PF,80.11,overcast clouds,-22.4333,-151.3333,Le Manotel
524,Batemans Bay,AU,62.01,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
525,Praia,CV,75.2,overcast clouds,14.9215,-23.5087,LT Aparthotel
526,Kavaratti,IN,82.56,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
527,Jinka,ET,88.54,few clouds,5.65,36.65,
529,Salto Del Guaira,PY,72.61,overcast clouds,-24.0625,-54.3069,7 Saltos Resort
530,Martapura,ID,80.6,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
533,Arica,CL,73.4,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
535,Hualmay,PE,72.52,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
537,Kulhudhuffushi,MV,82.02,clear sky,6.6221,73.07,Haajy Guest House 1
539,Botucatu,BR,74.17,moderate rain,-22.8858,-48.445,Primar Plaza Hotel
540,Catuday,PH,77.7,overcast clouds,16.2923,119.8062,GResort
541,Campo Maior,BR,80.64,overcast clouds,-4.8278,-42.1686,Elite Hotel
543,Wembley,AU,77.0,scattered clouds,-31.9333,115.8,Quest on Rheola
544,Sungairaya,ID,78.13,broken clouds,0.7,108.9,Mess P.Milu
545,Harlingen,US,69.01,few clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
546,Sauce,UY,78.8,clear sky,-34.6469,-56.0628,Hogar ESPERANZA I
551,Manokwari,ID,79.97,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
557,Bharatpur,IN,62.38,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
558,Coahuayana,MX,69.58,overcast clouds,18.7333,-103.6833,Hotel Los Arcos
561,Bull Savanna,JM,73.15,overcast clouds,17.8868,-77.5902,Big Red's
565,Punta Alta,AR,83.98,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
568,Alofi,NU,73.4,overcast clouds,-19.0595,-169.9187,Taloa Heights
569,Kapit,MY,74.89,light rain,2.0167,112.9333,Hotel Meligai Kapit
570,Springbok,ZA,83.88,clear sky,-29.6643,17.8865,Undulata Country Lodge
571,Matara,LK,78.3,light rain,5.9485,80.5353,Amaloh Boutique Resort
572,Camocim,BR,81.86,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
573,Camana,PE,73.58,clear sky,-16.6228,-72.7111,Hostal Morales
576,Sakakah,SA,68.0,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
577,Kigoma,TZ,77.0,broken clouds,-4.8769,29.6267,Kigoma Hilltop Hotel
578,Aloleng,PH,78.64,overcast clouds,16.1307,119.7824,Agno Umbrella Rocks
580,Grand Gaube,MU,84.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
582,Penalva,BR,80.82,overcast clouds,-3.2942,-45.1736,Hotel Lago Verde
584,Sawtell,AU,69.8,overcast clouds,-30.3833,153.1,Island Beach House Sawtell
586,Ciudad Bolivar,VE,79.39,broken clouds,8.1222,-63.5497,Hotel Edi
589,Amalapuram,IN,82.4,haze,16.5833,82.0167,swayamprabha service apartments
590,Houston,US,64.99,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
591,Yataity,PY,79.21,clear sky,-26.3667,-56.0667,Cristhian Ortigoza
592,Senanga,ZM,78.15,moderate rain,-16.1167,23.2667,Christopher Nasilele House
