City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Chauk,MM,2021-01-16 21:28:48,20.8833,94.8167,61.16,56,100,1.66
200,Sungai Padi,TH,2021-01-16 21:28:48,6.0851,101.8766,77.0,88,20,3.44
201,Gazanjyk,TM,2021-01-16 21:28:48,39.2446,55.5154,45.27,75,100,14.94
202,Kribi,CM,2021-01-16 21:28:48,2.95,9.9167,80.31,80,71,8.01
203,La Ronge,CA,2021-01-16 21:28:48,55.1001,-105.2842,24.8,74,100,13.8
204,Moissala,TD,2021-01-16 21:28:48,8.3404,17.7663,78.01,20,13,4.47
205,Valparaiso,CL,2021-01-16 21:24:23,-33.0393,-71.6273,73.4,35,0,14.97
206,Verkhnevilyuysk,RU,2021-01-16 21:28:48,63.4453,120.3167,-44.3,78,89,5.39
207,Dikson,RU,2021-01-16 21:28:49,73.5069,80.5464,-31.59,78,0,10.94
208,Altamira,BR,2021-01-16 21:28:49,-3.2033,-52.2064,86.0,74,20,2.19
209,Pompeia,BR,2021-01-16 21:23:51,-22.1086,-50.1717,79.43,72,81,7.4
210,Ilulissat,GL,2021-01-16 21:28:49,69.2167,-51.1,15.8,45,1,14.97
211,Saint George,US,2021-01-16 21:28:49,37.1041,-113.5841,66.0,23,1,3.44
212,Micheweni,TZ,2021-01-16 21:28:49,-4.9667,39.8333,79.32,82,0,10.09
213,Zhangye,CN,2021-01-16 21:28:49,38.9342,100.4517,13.3,73,0,8.46
214,Buriti Bravo,BR,2021-01-16 21:28:49,-5.8372,-43.8336,76.41,92,100,0.87
215,Changli,CN,2021-01-16 21:28:49,39.7042,119.1506,12.99,72,0,6.51
216,Sao Joao Da Barra,BR,2021-01-16 21:28:49,-21.6403,-41.0511,82.4,65,0,23.02
217,Vao,NC,2021-01-16 21:28:49,-22.6667,167.4833,77.77,90,100,11.68
218,Husavik,IS,2021-01-16 21:28:49,66.0449,-17.3389,33.8,100,90,3.44
219,Erenhot,CN,2021-01-16 21:28:49,43.6475,111.9767,0.3,87,6,14.03
220,San Patricio,US,2021-01-16 21:28:49,28.017,-97.5169,64.0,25,1,10.36
221,Saint-Francois,FR,2021-01-16 21:28:50,46.4154,3.9054,33.01,100,90,9.22
222,Gummersbach,DE,2021-01-16 21:28:50,51.0333,7.55,30.99,87,100,1.99
223,Padang,ID,2021-01-16 21:28:50,-0.9492,100.3543,75.2,88,20,1.14
224,Vila Velha,BR,2021-01-16 21:28:50,-20.3297,-40.2925,82.4,69,75,13.8
